Date,Closing Price (USD)
2015-11-04,432.46133
2015-11-05,434.31683
2015-11-06,359.586
2015-11-07,377.64099
2015-11-08,387.775
2015-11-09,370.652
2015-11-10,376.948
2015-11-11,311.702
2015-11-12,320.036
2015-11-13,337.893
2015-11-14,334.125
2015-11-15,333.951
2015-11-16,320.06
2015-11-17,337.759
2015-11-18,333.33299
2015-11-19,334.02499
2015-11-20,315.63099
2015-11-21,321.482
2015-11-22,326.365
2015-11-23,322.606
2015-11-24,320.993
2015-11-25,318.337
2015-11-26,332.471
2015-11-27,349.138
2015-11-28,354.954
2015-11-29,356.806
2015-11-30,375.204
2015-12-01,377.798
2015-12-02,352.128
2015-12-03,366.788
2015-12-04,358.443
2015-12-05,369.956
2015-12-06,394.861
2015-12-07,391.618
2015-12-08,395.59299
2015-12-09,421.424
2015-12-10,415.076
2015-12-11,421.813
2015-12-12,467.831
2015-12-13,435.091
2015-12-14,437.021
2015-12-15,453.676
2015-12-16,445.805
2015-12-17,451.102
2015-12-18,456.425
2015-12-19,464.218
2015-12-20,460.238
2015-12-21,435.64099
2015-12-22,438.276
2015-12-23,437.994
2015-12-24,456.572
2015-12-25,455.743
2015-12-26,447.606
2015-12-27,419.338
2015-12-28,427.817
2015-12-29,422.741
2015-12-30,431.029
2015-12-31,424.962
2016-01-01,432.358
2016-01-02,433.773
2016-01-03,431.985
2016-01-04,431.691
2016-01-05,433.732
2016-01-06,427.164
2016-01-07,441.021
2016-01-08,457.168
2016-01-09,452.368
2016-01-10,445.327
2016-01-11,450.312
2016-01-12,446.614
2016-01-13,431.156
2016-01-14,431.41
2016-01-15,416.29
2016-01-16,372.737
2016-01-17,383.138
2016-01-18,380.817
2016-01-19,382.738
2016-01-20,378.775
2016-01-21,417.439
2016-01-22,403.271
2016-01-23,388.219
2016-01-24,388.538
2016-01-25,397.885
2016-01-26,390.715
2016-01-27,392.389
2016-01-28,381.356
2016-01-29,369.133
2016-01-30,376.952
2016-01-31,378.174
2016-02-01,372.157
2016-02-02,372.453
2016-02-03,372.762
2016-02-04,370.433
2016-02-05,386.954
2016-02-06,377.889
2016-02-07,376.44
2016-02-08,376.924
2016-02-09,372.434
2016-02-10,374.764
2016-02-11,379.186
2016-02-12,378.576
2016-02-13,388.87
2016-02-14,397.23
2016-02-15,405.621
2016-02-16,401.663
2016-02-17,407.017
2016-02-18,417.492
2016-02-19,421.956
2016-02-20,422.054
2016-02-21,439.61
2016-02-22,436.14
2016-02-23,438.745
2016-02-24,419.896
2016-02-25,422.617
2016-02-26,421.244
2016-02-27,433.401
2016-02-28,425.502
2016-02-29,438.28
2016-03-01,436.426
2016-03-02,434.001
2016-03-03,419.254
2016-03-04,421.597
2016-03-05,407.722
2016-03-06,397.883
2016-03-07,407.276
2016-03-08,414.213
2016-03-09,410.739
2016-03-10,411.672
2016-03-11,416.708
2016-03-12,415.04
2016-03-13,411.637
2016-03-14,414.208
2016-03-15,416.034
2016-03-16,414.167
2016-03-17,417.138
2016-03-18,417.154
2016-03-19,407.473
2016-03-20,409.24
2016-03-21,407.496
2016-03-22,415.125
2016-03-23,417.318
2016-03-24,415.837
2016-03-25,414.75699
2016-03-26,416.851
2016-03-27,416.233
2016-03-28,424.297
2016-03-29,423.597
2016-03-30,414.613
2016-03-31,414.458
2016-04-01,416.012
2016-04-02,418.785
2016-04-03,418.93999
2016-04-04,418.593
2016-04-05,422.044
2016-04-06,422.29499
2016-04-07,420.553
2016-04-08,421.616
2016-04-09,415.751
2016-04-10,418.078
2016-04-11,421.192
2016-04-12,426.383
2016-04-13,426.84399
2016-04-14,425.494
2016-04-15,426.279
2016-04-16,429.775
2016-04-17,430.453
2016-04-18,429.318
2016-04-19,428.522
2016-04-20,435.926
2016-04-21,443.758
2016-04-22,446.776
2016-04-23,447.233
2016-04-24,455.152
2016-04-25,458.626
2016-04-26,464.429
2016-04-27,466.064
2016-04-28,441.304
2016-04-29,446.236
2016-04-30,454.375
2016-05-01,449.108
2016-05-02,453.067
2016-05-03,443.681
2016-05-04,449.157
2016-05-05,447.73999
2016-05-06,447.58599
2016-05-07,458.864
2016-05-08,459.937
2016-05-09,458.708
2016-05-10,460.954
2016-05-11,454.39399
2016-05-12,451.155
2016-05-13,453.701
2016-05-14,456.039
2016-05-15,456.093
2016-05-16,457.64099
2016-05-17,454.278
2016-05-18,454.064
2016-05-19,453.494
2016-05-20,440.231
2016-05-21,442.953
2016-05-22,442.892
2016-05-23,440.551
2016-05-24,444.489
2016-05-25,447.035
2016-05-26,448.278
2016-05-27,467.262
2016-05-28,489.847
2016-05-29,516.051
2016-05-30,529.917
2016-05-31,537.23299
2016-06-01,528.04999
2016-06-02,538.568
2016-06-03,537.185
2016-06-04,571.139
2016-06-05,579.343
2016-06-06,578.84899
2016-06-07,585.399
2016-06-08,576.226
2016-06-09,580.43599
2016-06-10,574.953
2016-06-11,583.87
2016-06-12,633.205
2016-06-13,682.226
2016-06-14,695.155
2016-06-15,685.442
2016-06-16,732.357
2016-06-17,773.25
2016-06-18,736.386
2016-06-19,747.831
2016-06-20,758.903
2016-06-21,702.696
2016-06-22,657.013
2016-06-23,581.249
2016-06-24,657.08999
2016-06-25,687.168
2016-06-26,657.22399
2016-06-27,644.091
2016-06-28,655.94399
2016-06-29,634.357
2016-06-30,635.093
2016-07-01,683.293
2016-07-02,678.567
2016-07-03,690.179
2016-07-04,670.741
2016-07-05,679.351
2016-07-06,676.872
2016-07-07,671.814
2016-07-08,640.476
2016-07-09,654.85299
2016-07-10,649.356
2016-07-11,656.747
2016-07-12,648.136
2016-07-13,663.443
2016-07-14,654.018
2016-07-15,663.638
2016-07-16,666.56499
2016-07-17,665.113
2016-07-18,681.239
2016-07-19,673.832
2016-07-20,673.008
2016-07-21,662.034
2016-07-22,666.747
2016-07-23,654.725
2016-07-24,654.895
2016-07-25,660.284
2016-07-26,655.418
2016-07-27,650.82899
2016-07-28,656.91599
2016-07-29,655.427
2016-07-30,656.681
2016-07-31,635.588
2016-08-01,621.37299
2016-08-02,601.227
2016-08-03,555.926
2016-08-04,578.52374
2016-08-05,570.33875
2016-08-06,574.87375
2016-08-07,588.51625
2016-08-08,589.66125
2016-08-09,586.715
2016-08-10,585.23875
2016-08-11,594.81625
2016-08-12,581.9625
2016-08-13,584.87375
2016-08-14,581.65
2016-08-15,571.9625
2016-08-16,567.60749
2016-08-17,575.54125
2016-08-18,572.37249
2016-08-19,573.01625
2016-08-20,573.08
2016-08-21,581.35375
2016-08-22,579.6675
2016-08-23,585.5075
2016-08-24,577.98749
2016-08-25,574.5825
2016-08-26,575.0625
2016-08-27,575.3425
2016-08-28,568.78875
2016-08-29,574.49749
2016-08-30,571.94125
2016-08-31,573.78125
2016-09-01,572.96
2016-09-02,570.1
2016-09-03,572.52125
2016-09-04,596.45375
2016-09-05,606.0525
2016-09-06,604.465
2016-09-07,609.4325
2016-09-08,613.67499
2016-09-09,623.6
2016-09-10,620.59875
2016-09-11,622.03375
2016-09-12,604.8275
2016-09-13,607.03625
2016-09-14,606.885
2016-09-15,606.8975
2016-09-16,605.52125
2016-09-17,606.04625
2016-09-18,605.08
2016-09-19,609.37249
2016-09-20,606.7175
2016-09-21,595.93375
2016-09-22,596.225
2016-09-23,595.0175
2016-09-24,602.4075
2016-09-25,601.36875
2016-09-26,598.9075
2016-09-27,605.0175
2016-09-28,602.885
2016-09-29,603.58124
2016-09-30,604.52125
2016-10-01,610.58375
2016-10-02,613.23749
2016-10-03,611.88874
2016-10-04,609.495
2016-10-05,608.125
2016-10-06,610.57
2016-10-07,610.23375
2016-10-08,617.445
2016-10-09,614.59625
2016-10-10,615.91625
2016-10-11,618.3275
2016-10-12,637.21624
2016-10-13,637.73625
2016-10-14,635.88375
2016-10-15,638.975
2016-10-16,638.605
2016-10-17,636.635
2016-10-18,637.01625
2016-10-19,634.605
2016-10-20,626.36875
2016-10-21,629.61249
2016-10-22,630.61875
2016-10-23,650.895
2016-10-24,647.69375
2016-10-25,652.235
2016-10-26,657.05625
2016-10-27,684.3775
2016-10-28,684.2975
2016-10-29,700.135
2016-10-30,704.91
2016-10-31,693.89625
2016-11-01,708.955
2016-11-02,725.6925
2016-11-03,741.84875
2016-11-04,701.21875
2016-11-05,702.175
2016-11-06,705.47875
2016-11-07,705.47125
2016-11-08,706.13375
2016-11-09,728.36125
2016-11-10,719.2525
2016-11-11,714.57125
2016-11-12,715.7725
2016-11-13,694.72125
2016-11-14,704.62125
2016-11-15,711.39625
2016-11-16,710.9275
2016-11-17,745.92625
2016-11-18,738.665
2016-11-19,748.8075
2016-11-20,752.5525
2016-11-21,730.365
2016-11-22,734.84
2016-11-23,745.97875
2016-11-24,739.81875
2016-11-25,730.3125
2016-11-26,737.4025
2016-11-27,727.445
2016-11-28,731.9
2016-11-29,731.12625
2016-11-30,731.64
2016-12-01,744.1025
2016-12-02,766.5925
2016-12-03,769.915
2016-12-04,764.3575
2016-12-05,760.1
2016-12-06,754.82625
2016-12-07,758.35375
2016-12-08,763.23625
2016-12-09,766.8725
2016-12-10,773.2825
2016-12-11,765.9525
2016-12-12,769.8275
2016-12-13,774.38625
2016-12-14,778.35625
2016-12-15,776.9825
2016-12-16,776.415
2016-12-17,786.9725
2016-12-18,789.24625
2016-12-19,791
2016-12-20,789.2325
2016-12-21,805.79625
2016-12-22,842.63875
2016-12-23,910.9325
2016-12-24,910.2475
2016-12-25,870.13125
2016-12-26,905.45625
2016-12-27,900.36625
2016-12-28,948.89875
2016-12-29,971.645
2016-12-30,954.84375
2016-12-31,952.455
2017-01-01,964.325
2017-01-02,1009.97375
2017-01-03,1028.33375
2017-01-04,1047.09999
2017-01-05,1140.385
2017-01-06,985.93875
2017-01-07,837.83625
2017-01-08,923.52375
2017-01-09,889.33875
